
2023-04-24		13:04:52	 c84176b6-0f89-465c-8f04-e562db134691	 GET	/students	undefined 
2023-04-24		13:04:53	 9eeb9f17-8156-473f-a44c-2997e22480e0	 GET	/students	undefined 
2023-05-24		13:05:12	 20ebb356-2d9d-4146-b33e-a6260eb3a5ae	 GET	/students	undefined 
2023-05-24		13:05:40	 bd85ba7b-dc4b-41b0-910e-9a665212e674	 GET	/register	undefined 
2023-05-24		13:05:46	 47b2aa01-5826-400d-8499-7387999204ad	 POST	/auth	undefined 
2023-06-24		13:06:31	 43845d86-8967-4e45-8899-3a36deadb48f	 POST	/auth	undefined 
2023-06-24		13:06:44	 2a7c0f93-e9c0-43f3-b010-1682522babdc	 GET	/students	undefined 
2023-11-24		13:11:21	 811483a5-8f53-4489-88f4-b95a5d791512	 POST	/auth	undefined 
2023-11-24		13:11:33	 579e4da6-1da8-464a-b9ec-a91bc8ad2adf	 GET	/students	undefined 
2023-12-24		14:12:47	 2ab927bf-4fe4-4b86-a516-ba9e9e48c895	 GET	/students	undefined 
2023-14-24		14:14:30	 40763651-13ca-4c58-bf22-846439fc8d34	 POST	/auth	undefined 
2023-14-24		14:14:42	 55cb90d9-5c62-47d0-a8df-2c56c4c40a4b	 GET	/students	undefined 
